"id_short"	"id"	"family"	"given"	"other_family_names"	"other_given_names"	"birth"	"death"	"parl_period_start"	"parl_period_end"	"party"	"party_ids"	"label"	"gender"	"role_label"	"group_label"
911578	"http://ldf.fi/semparl/people/p911578"	"Sävelä"	"Arvo"	"Sjöviiki"	"Arvo Päiviö"	1908-01-01	1976-01-01	1948-07-22	1962-02-19	"TPSL"	"http://ldf.fi/semparl/groups/Q1813319"	"Sävelä, Arvo (1908-1976)"	"Male"	"edustaja"	
910165	"http://ldf.fi/semparl/people/p910165"	"Sääskilahti"	"Eino"		"Eino Martti"	1922-01-01	2005-01-01	1962-02-20	1970-03-22	"Kesk."	"http://ldf.fi/semparl/groups/Q506591"	"Sääskilahti, Eino (1922-2005)"	"Male"	"edustaja"	
911579	"http://ldf.fi/semparl/people/p911579"	"Söderhjelm"	"Johan Otto"		"J.O."	1898-01-01	1985-01-01	1933-09-01	1939-08-31	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderhjelm, Johan Otto (1898-1985)"	"Male"	"edustaja"	
911579	"http://ldf.fi/semparl/people/p911579"	"Söderhjelm"	"Johan Otto"		"J.O."	1898-01-01	1985-01-01	1939-10-12	1939-11-30	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderhjelm, Johan Otto (1898-1985)"	"Male"	"oikeusministeri"	"Cajanderin III hallitus"
911579	"http://ldf.fi/semparl/people/p911579"	"Söderhjelm"	"Johan Otto"		"J.O."	1898-01-01	1985-01-01	1939-12-01	1940-03-26	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderhjelm, Johan Otto (1898-1985)"	"Male"	"oikeusministeri"	"Rytin hallitus"
911579	"http://ldf.fi/semparl/people/p911579"	"Söderhjelm"	"Johan Otto"		"J.O."	1898-01-01	1985-01-01	1944-07-14	1951-07-20	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderhjelm, Johan Otto (1898-1985)"	"Male"	"edustaja"	
911579	"http://ldf.fi/semparl/people/p911579"	"Söderhjelm"	"Johan Otto"		"J.O."	1898-01-01	1985-01-01	1957-09-02	1957-11-28	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderhjelm, Johan Otto (1898-1985)"	"Male"	"oikeusministeri"	"Sukselaisen hallitus"
911579	"http://ldf.fi/semparl/people/p911579"	"Söderhjelm"	"Johan Otto"		"J.O."	1898-01-01	1985-01-01	1958-04-26	1958-08-28	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderhjelm, Johan Otto (1898-1985)"	"Male"	"oikeusministeri"	"Kuuskosken hallitus"
911579	"http://ldf.fi/semparl/people/p911579"	"Söderhjelm"	"Johan Otto"		"J.O."	1898-01-01	1985-01-01	1962-02-20	1966-04-04	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderhjelm, Johan Otto (1898-1985)"	"Male"	"edustaja"	
911579	"http://ldf.fi/semparl/people/p911579"	"Söderhjelm"	"Johan Otto"		"J.O."	1898-01-01	1985-01-01	1962-04-13	1963-12-17	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderhjelm, Johan Otto (1898-1985)"	"Male"	"oikeusministeri"	"Karjalaisen hallitus"
911579	"http://ldf.fi/semparl/people/p911579"	"Söderhjelm"	"Johan Otto"		"J.O."	1898-01-01	1985-01-01	1962-09-21	1963-11-01	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderhjelm, Johan Otto (1898-1985)"	"Male"	"ministeri valtiovarainministeriössä"	"Karjalaisen hallitus"
911579	"http://ldf.fi/semparl/people/p911579"	"Söderhjelm"	"Johan Otto"		"J.O."	1898-01-01	1985-01-01	1964-09-12	1966-05-26	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderhjelm, Johan Otto (1898-1985)"	"Male"	"oikeusministeri"	"Virolaisen hallitus"
911580	"http://ldf.fi/semparl/people/p911580"	"Söderholm"	"Karl"		"Karl Gustaf; K.G."	1859-01-01	1948-01-01	1907-05-22	1914-02-01	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderholm, Karl (1859-1948)"	"Male"	"edustaja"	
911580	"http://ldf.fi/semparl/people/p911580"	"Söderholm"	"Karl"		"Karl Gustaf; K.G."	1859-01-01	1948-01-01	1917-04-04	1917-10-31	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderholm, Karl (1859-1948)"	"Male"	"edustaja"	
911580	"http://ldf.fi/semparl/people/p911580"	"Söderholm"	"Karl"		"Karl Gustaf; K.G."	1859-01-01	1948-01-01	1918-11-27	1919-04-17	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderholm, Karl (1859-1948)"	"Male"	"oikeusministeri"	"Ingmanin hallitus"
911580	"http://ldf.fi/semparl/people/p911580"	"Söderholm"	"Karl"		"Karl Gustaf; K.G."	1859-01-01	1948-01-01	1919-04-17	1919-08-15	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderholm, Karl (1859-1948)"	"Male"	"oikeusministeri"	"Castren K.:n hallitus"
911580	"http://ldf.fi/semparl/people/p911580"	"Söderholm"	"Karl"		"Karl Gustaf; K.G."	1859-01-01	1948-01-01	1920-03-15	1920-06-28	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderholm, Karl (1859-1948)"	"Male"	"oikeusministeri"	"Erichin hallitus"
911580	"http://ldf.fi/semparl/people/p911580"	"Söderholm"	"Karl"		"Karl Gustaf; K.G."	1859-01-01	1948-01-01	1930-07-04	1931-03-21	"RKP"	"http://ldf.fi/semparl/groups/Q845537"	"Söderholm, Karl (1859-1948)"	"Male"	"oikeusministeri"	"Svinhufvudin II hallitus"
311	"http://ldf.fi/semparl/people/p311"	"Söderman"	"Jacob"		"Jacob-Magnus"	1938-01-01		1971-10-01	1971-10-28	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Söderman, Jacob (1938-)"	"Male"	"ministeri sisäasiainministeriössä"	"Karjalaisen II hallitus"
311	"http://ldf.fi/semparl/people/p311"	"Söderman"	"Jacob"		"Jacob-Magnus"	1938-01-01		1972-04-04	1982-06-30	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Söderman, Jacob (1938-)"	"Male"	"edustaja"	
311	"http://ldf.fi/semparl/people/p311"	"Söderman"	"Jacob"		"Jacob-Magnus"	1938-01-01		1982-02-19	1982-06-30	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Söderman, Jacob (1938-)"	"Male"	"sosiaali- ja terveysministeri"	"Sorsan III hallitus"
311	"http://ldf.fi/semparl/people/p311"	"Söderman"	"Jacob"		"Jacob-Magnus"	1938-01-01		2007-09-12	2011-04-19	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Söderman, Jacob (1938-)"	"Male"	"edustaja"	
911581	"http://ldf.fi/semparl/people/p911581"	"Söderström"	"Sten"		"Sten Håkansson"	1948-01-01	1996-01-01	1979-03-24	1987-03-20	"SKDL"	"http://ldf.fi/semparl/groups/Q585735"	"Söderström, Sten (1948-1996)"	"Male"	"edustaja"	
1319	"http://ldf.fi/semparl/people/p1319"	"Taavitsainen"	"Satu"		"Satu Johanna"	1977-01-01		2015-04-22	2019-04-16	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Taavitsainen, Satu (1977-)"	"Female"	"edustaja"	
911582	"http://ldf.fi/semparl/people/p911582"	"Tabell"	"Emil"		"Emil Johannes"	1899-01-01	1937-01-01	1924-05-01	1930-10-20			"Tabell, Emil (1899-1937)"	"Male"	"edustaja"	
929	"http://ldf.fi/semparl/people/p929"	"Tabermann"	"Tommy"	"Taberman"		1947-01-01	2010-01-01	2007-03-21	2010-07-01	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Tabermann, Tommy (1947-2010)"	"Male"	"edustaja"	
501	"http://ldf.fi/semparl/people/p501"	"Tahvanainen"	"Säde"		"Säde Maarit"	1972-01-01		1995-03-24	2007-03-20	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Tahvanainen, Säde (1972-)"	"Female"	"edustaja"	
952	"http://ldf.fi/semparl/people/p952"	"Taimela"	"Katja"		"Katja Alli Maarit"	1974-01-01		2007-03-21		"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Taimela, Katja (1974-)"	"Female"	"edustaja"	
275	"http://ldf.fi/semparl/people/p275"	"Taina"	"Anneli"		"Anneli Kristiina"	1951-01-01		1987-03-21	1999-03-23	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Taina, Anneli (1951-)"	"Female"	"edustaja"	
275	"http://ldf.fi/semparl/people/p275"	"Taina"	"Anneli"		"Anneli Kristiina"	1951-01-01		1995-01-02	1995-04-12	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Taina, Anneli (1951-)"	"Female"	"ministeri ympäristöministeriössä"	"Ahon hallitus"
275	"http://ldf.fi/semparl/people/p275"	"Taina"	"Anneli"		"Anneli Kristiina"	1951-01-01		1995-04-13	1999-04-14	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Taina, Anneli (1951-)"	"Female"	"puolustusministeri"	"Lipposen hallitus"
911584	"http://ldf.fi/semparl/people/p911584"	"Tainio"	"Eino"		"Eino Alfred"	1905-01-01	1970-01-01	1945-04-06	1970-03-22	"SKP;SKDL"	"http://ldf.fi/semparl/groups/Q1341419;http://ldf.fi/semparl/groups/Q585735"	"Tainio, Eino (1905-1970)"	"Male"	"edustaja"	
1112	"http://ldf.fi/semparl/people/p1112"	"Tainio"	"Hanna"		"Hanna Maria"	1960-01-01		2011-04-20	2015-04-21	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Tainio, Hanna (1960-)"	"Female"	"edustaja"	
911583	"http://ldf.fi/semparl/people/p911583"	"Tainio"	"Taavi"		"David"	1874-01-01	1929-01-01	1907-05-22	1909-05-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Tainio, Taavi (1874-1929)"	"Male"	"edustaja"	
911583	"http://ldf.fi/semparl/people/p911583"	"Tainio"	"Taavi"		"David"	1874-01-01	1929-01-01	1911-02-01	1914-02-01	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Tainio, Taavi (1874-1929)"	"Male"	"edustaja"	
911583	"http://ldf.fi/semparl/people/p911583"	"Tainio"	"Taavi"		"David"	1874-01-01	1929-01-01	1922-09-05	1929-03-17	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Tainio, Taavi (1874-1929)"	"Male"	"edustaja"	
620	"http://ldf.fi/semparl/people/p620"	"Taipale"	"Ilkka"		"Väinö Ilkka Ilari"	1942-01-01		1971-10-01	1975-09-26	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Taipale, Ilkka (1942-)"	"Male"	"edustaja"	
