id__short	id	family	given	other_family_names	other_given_names	label	gender	birth	death	role_label	group_label	group_id	group_class	parl_period_start	parl_period_end	party	party_ids
910349	http://ldf.fi/semparl/people/p910349	Eskelinen	Katri-Helena			Eskelinen, Katri-Helena (1925-2014)	Female	1925-01-01	2014-12-31	ministeri sosiaali- ja terveysministeriössä	Koiviston II hallitus	http://ldf.fi/semparl/groups/Koivisto_II	http://ldf.fi/schema/semparl/Government	1979-05-26	1982-02-18	Kesk.	http://ldf.fi/semparl/groups/Q506591
910349	http://ldf.fi/semparl/people/p910349	Eskelinen	Katri-Helena			Eskelinen, Katri-Helena (1925-2014)	Female	1925-01-01	2014-12-31	vpj	Keskustan eduskuntaryhmä (aika ei tiedossa)	http://ldf.fi/semparl/groups/g2430413058941367244	http://ldf.fi/semparl/groups/pg3			Kesk.	http://ldf.fi/semparl/groups/Q506591
1430	http://ldf.fi/semparl/people/p1430	Eskelinen	Seppo		Seppo Antero	Eskelinen, Seppo (1960-)	Male	1960-01-01		jäsen	Sosialidemokraattinen eduskuntaryhmä (2019-2023)	http://ldf.fi/semparl/groups/g2777354125881104573	http://ldf.fi/semparl/groups/pg1	2019-04-17		SDP	http://ldf.fi/semparl/groups/Q499029
Q17380204	http://ldf.fi/semparl/people/Q17380204	Eskelä	Yrjö			Eskelä, Yrjö Johannes (1886-1949)	Male	1886-02-11	1949-06-23	sisäasiainministeri	Cajanderin hallitus	http://ldf.fi/semparl/groups/Cajander	http://ldf.fi/schema/semparl/Government	1922-06-02	1922-11-14		
Q17380204	http://ldf.fi/semparl/people/Q17380204	Eskelä	Yrjö			Eskelä, Yrjö Johannes (1886-1949)	Male	1886-02-11	1949-06-23	sisäasiainministeri	Cajanderin II hallitus	http://ldf.fi/semparl/groups/Cajander_II	http://ldf.fi/schema/semparl/Government	1924-01-18	1924-05-31		
910350	http://ldf.fi/semparl/people/p910350	Eskman	Margit		Margit Marjatta Margareetta	Eskman, Margit (1925-1990)	Female	1925-01-01	1990-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1970-1972)	http://ldf.fi/semparl/groups/g5033327388552591243	http://ldf.fi/semparl/groups/pg1	1966-04-05	1975-09-26	SDP	http://ldf.fi/semparl/groups/Q499029
910350	http://ldf.fi/semparl/people/p910350	Eskman	Margit		Margit Marjatta Margareetta	Eskman, Margit (1925-1990)	Female	1925-01-01	1990-12-31	ministeri valtioneuvoston kansliassa	Koiviston hallitus	http://ldf.fi/semparl/groups/Koivisto	http://ldf.fi/schema/semparl/Government	1970-02-01	1970-05-13	SDP	http://ldf.fi/semparl/groups/Q499029
910350	http://ldf.fi/semparl/people/p910350	Eskman	Margit		Margit Marjatta Margareetta	Eskman, Margit (1925-1990)	Female	1925-01-01	1990-12-31	ministeri valtiovarainministeriössä	Paasion II hallitus	http://ldf.fi/semparl/groups/Paasio_II	http://ldf.fi/schema/semparl/Government	1972-02-23	1972-05-31	SDP	http://ldf.fi/semparl/groups/Q499029
910351	http://ldf.fi/semparl/people/p910351	Eskola	Hannes		Anders Johannes	Eskola, Hannes (1885-1951)	Male	1885-01-01	1951-12-31	jäsen	Maalaisliiton eduskuntaryhmä (1930-1933)	http://ldf.fi/semparl/groups/g3120483882249427796	http://ldf.fi/semparl/groups/pg4	1930-10-21	1933-08-31	Kesk.	http://ldf.fi/semparl/groups/Q506591
910016	http://ldf.fi/semparl/people/p910016	Eskola	Kusti		Kustaa Oskari	Eskola, Kusti (1911-2003)	Male	1911-01-01	2003-12-31	jäsen	Maalaisliiton eduskuntaryhmä (1958-1962)	http://ldf.fi/semparl/groups/g2985859748527315611	http://ldf.fi/semparl/groups/pg4	1945-04-06	1962-06-19	Kesk.	http://ldf.fi/semparl/groups/Q506591
